epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
0,0.4515,0.3096,0.0,129.15
1,0.3084,0.2691,0.0,122.47
2,0.2148,0.1538,0.113875,122.62
3,0.1146,0.072,0.15525,122.69
4,0.0252,-0.0069,0.18035,122.83
5,-0.043,-0.0798,0.2366875,122.92
6,-0.1075,-0.1554,0.320275,122.91
7,-0.2454,-0.2902,0.479825,122.7
8,-0.3422,-0.3446,0.5122625,122.64
9,-0.3773,-0.3959,0.542075,122.63
10,-0.4241,-0.4225,0.555775,122.79
11,-0.4374,-0.4456,0.5571,122.88
12,-0.4979,-0.5161,0.6471,122.92
13,-0.5202,-0.5087,0.656175,122.63
14,-0.5483,-0.5012,0.6312625000000001,122.61
15,-0.5392,-0.5321,0.6678625,122.6
16,-0.5728,-0.6115,0.7631375,122.61
17,-0.6124,-0.6077,0.7429125,122.57
18,-0.6119,-0.606,0.7454625,122.66
19,-0.6126,-0.5953,0.7499,122.87
20,-0.63,-0.6458,0.7768375,122.82
21,-0.6317,-0.6706,0.7882,122.82
22,-0.6627,-0.6676,0.792025,122.6
23,-0.6579,-0.7031,0.8005875,122.56
24,-0.6499,-0.686,0.79115,122.55
25,-0.6658,-0.666,0.79735,122.88
26,-0.7003,-0.684,0.8100875,122.84
27,-0.6706,-0.6733,0.8024,122.75
28,-0.6881,-0.6634,0.7927625,122.58
29,-0.6853,-0.7117,0.818,122.6
30,-0.698,-0.7059,0.8160875,122.6
31,-0.7039,-0.6605,0.780925,122.6
32,-0.6807,-0.6925,0.8085,122.59
33,-0.6951,-0.6934,0.8142874999999999,122.74
34,-0.6975,-0.7055,0.821425,122.87
35,-0.7162,-0.7312,0.83115,122.9
36,-0.7128,-0.7248,0.8328875,122.71
37,-0.7037,-0.7242,0.8304875,122.67
38,-0.7002,-0.6863,0.79045,122.53
39,-0.7074,-0.6918,0.7955375,122.75
40,-0.7187,-0.7107,0.8188625,122.91
41,-0.7285,-0.7327,0.8213,122.87
42,-0.7265,-0.737,0.8376,122.66
43,-0.7352,-0.7204,0.8233875,122.57
44,-0.7104,-0.7167,0.8250625,122.58
45,-0.7117,-0.7292,0.8403375,122.56
46,-0.7363,-0.7105,0.82265,122.54
47,-0.7319,-0.7304,0.8222,122.45
48,-0.7291,-0.7546,0.8461,122.65
49,-0.7511,-0.7184,0.8309375,122.65
50,-0.7222,-0.7368,0.83805,122.83
51,-0.7248,-0.7305,0.8247625,122.36
52,-0.7352,-0.731,0.8242625,122.4
53,-0.7481,-0.7217,0.831175,122.41
54,-0.7447,-0.7131,0.8129,122.66
55,-0.7372,-0.7361,0.838375,122.69
56,-0.7458,-0.7529,0.8453125,122.65
57,-0.7278,-0.7017,0.82425,122.4
58,-0.741,-0.7479,0.8374874999999999,122.33
59,-0.7415,-0.7327,0.835375,122.37
60,-0.7402,-0.7136,0.8375,122.41
61,-0.7481,-0.751,0.8291875,122.41
62,-0.7364,-0.7492,0.8337,122.53
63,-0.7456,-0.7507,0.834125,122.75
64,-0.7439,-0.7438,0.84005,122.73
65,-0.7623,-0.7631,0.85145,122.58
66,-0.7421,-0.7384,0.8508,122.36
67,-0.7454,-0.722,0.8323625,122.41
68,-0.7258,-0.7202,0.830925,122.61
69,-0.7487,-0.7655,0.84965,122.71
70,-0.7492,-0.7224,0.83675,122.68
71,-0.7477,-0.7584,0.8418875,122.46
72,-0.7442,-0.745,0.8494875,122.41
73,-0.764,-0.7561,0.8442,122.39
74,-0.7581,-0.718,0.836275,122.38
75,-0.7337,-0.7324,0.844225,122.37
76,-0.7487,-0.7428,0.8485125,122.46
77,-0.7596,-0.7458,0.8518125,122.67
78,-0.765,-0.7678,0.8552500000000001,122.64
79,-0.7401,-0.7521,0.8490125,122.57
80,-0.7476,-0.7364,0.841975,122.45
81,-0.7488,-0.736,0.83635,122.38
82,-0.7659,-0.7367,0.8264125,122.48
83,-0.7587,-0.7472,0.8542125,122.72
84,-0.7549,-0.741,0.84705,122.67
85,-0.7593,-0.7653,0.8598,122.55
86,-0.7732,-0.7335,0.8301625,122.41
87,-0.7584,-0.7608,0.850375,122.43
88,-0.7627,-0.7471,0.8480875,122.43
89,-0.7602,-0.7575,0.8507750000000001,122.43
90,-0.7496,-0.7698,0.861425,122.43
91,-0.7597,-0.7542,0.8491875,122.64
92,-0.7603,-0.7543,0.8618625,122.76
93,-0.7607,-0.7626,0.857,122.72
94,-0.7617,-0.7497,0.8511125,122.42
95,-0.7544,-0.7672,0.8583,122.39
96,-0.7709,-0.7888,0.8710125,122.38
97,-0.7582,-0.7709,0.8628125,122.62
98,-0.7692,-0.752,0.85535,122.69
99,-0.7478,-0.7601,0.85915,122.57
100,-0.763,-0.7905,0.8760125,125.5
101,-0.7653,-0.7554,0.8550625000000001,122.38
102,-0.7561,-0.7733,0.8562125,122.39
103,-0.7745,-0.7572,0.851925,122.36
104,-0.7687,-0.7563,0.8498749999999999,122.4
105,-0.7582,-0.7661,0.86465,122.52
106,-0.766,-0.7864,0.8689625,122.62
107,-0.7576,-0.7575,0.846075,122.62
108,-0.7613,-0.7694,0.862575,122.48
109,-0.7433,-0.754,0.85035,122.38
110,-0.7481,-0.751,0.8479625,122.36
111,-0.7673,-0.7715,0.8569125,122.54
112,-0.7848,-0.7772,0.8616874999999999,122.65
113,-0.7663,-0.7617,0.8496625,122.62
114,-0.7689,-0.7741,0.8577625,122.42
115,-0.7557,-0.7826,0.8611125,122.41
116,-0.7676,-0.7874,0.873225,122.39
117,-0.7694,-0.7724,0.8534125,122.42
118,-0.7668,-0.763,0.864725,122.43
119,-0.7549,-0.7761,0.872,122.45
120,-0.7685,-0.7762,0.8583625,122.63
121,-0.7734,-0.7721,0.856175,122.62
122,-0.7659,-0.7544,0.852475,122.65
123,-0.7752,-0.7757,0.86065,122.45
124,-0.7622,-0.7773,0.86295,122.43
125,-0.7651,-0.7605,0.8517625,122.52
126,-0.7771,-0.7811,0.8612125,122.71
127,-0.7748,-0.7808,0.8634625,122.69
128,-0.7745,-0.7731,0.8628625,122.53
129,-0.7726,-0.7615,0.8589249999999999,122.44
130,-0.7658,-0.7799,0.8674125,122.47
