epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
134,-0.7837,-0.7942,0.8711125,122.09
135,-0.7666,-0.7649,0.854375,122.16
136,-0.7747,-0.7939,0.87505,122.35
137,-0.7745,-0.7838,0.8638,122.7
138,-0.7711,-0.7919,0.8734999999999999,122.38
139,-0.7866,-0.7778,0.8696875000000001,122.07
140,-0.7698,-0.7803,0.86505,122.04
141,-0.7729,-0.7536,0.85235,122.13
142,-0.7578,-0.7728,0.855925,122.42
143,-0.7641,-0.7792,0.8689749999999999,122.44
144,-0.7688,-0.7488,0.8396250000000001,122.36
145,-0.7741,-0.7924,0.8691125,122.1
146,-0.7559,-0.7549,0.8340875,122.11
147,-0.7737,-0.782,0.8660125,122.07
148,-0.7755,-0.7805,0.8690875,122.1
149,-0.7833,-0.7583,0.842375,122.12
150,-0.7713,-0.7782,0.8591625,122.32
151,-0.768,-0.7857,0.8651625000000001,122.43
152,-0.7665,-0.7558,0.849425,122.43
153,-0.7626,-0.7936,0.8695625,122.24
154,-0.7611,-0.7855,0.8682125,122.12
155,-0.776,-0.7493,0.8477375,122.12
156,-0.7753,-0.7898,0.864975,122.29
157,-0.7777,-0.7729,0.853575,122.37
158,-0.7706,-0.7861,0.8673125,122.4
159,-0.7763,-0.7615,0.846775,122.17
160,-0.786,-0.7956,0.8699250000000001,122.08
161,-0.7913,-0.7985,0.8737125,122.11
162,-0.7817,-0.7509,0.8349,122.09
163,-0.7884,-0.7549,0.8502375,122.12
164,-0.7892,-0.7871,0.8637125,122.09
165,-0.7756,-0.7897,0.86955,122.4
166,-0.7746,-0.8084,0.8795499999999999,122.41
167,-0.789,-0.7633,0.8526875,122.45
168,-0.775,-0.7619,0.8432875,122.11
169,-0.7692,-0.7717,0.8430875,122.08
170,-0.7765,-0.7862,0.8672125,122.13
171,-0.785,-0.7607,0.8510875,122.4
172,-0.784,-0.7681,0.8542875,122.41
173,-0.7839,-0.7523,0.8565,122.3
174,-0.7784,-0.767,0.8644125,122.12
175,-0.7893,-0.7835,0.8629,122.08
176,-0.7695,-0.7995,0.8695,122.08
177,-0.7718,-0.7732,0.8644875,122.08
178,-0.7718,-0.7817,0.8608875,122.07
179,-0.788,-0.7856,0.8692125,122.13
180,-0.7955,-0.7784,0.8583500000000001,122.38
181,-0.7762,-0.7821,0.8569875,122.3
182,-0.7781,-0.7671,0.844425,122.27
183,-0.7768,-0.8039,0.8696875000000001,122.08
184,-0.7747,-0.7854,0.8663375,122.03
185,-0.7759,-0.7883,0.8494125,122.25
186,-0.7865,-0.7871,0.8669125,122.37
187,-0.7876,-0.7916,0.8629875,122.36
188,-0.7833,-0.7777,0.85945,122.29
189,-0.7897,-0.7667,0.8558375,122.05
190,-0.7934,-0.7604,0.8522875,122.06
191,-0.7851,-0.7843,0.8715375,122.08
192,-0.7757,-0.735,0.8340125,122.1
193,-0.7684,-0.79,0.8743875,122.05
194,-0.7833,-0.7791,0.8639249999999999,122.2
195,-0.7786,-0.7662,0.8398875,122.33
196,-0.7794,-0.7707,0.8621125000000001,122.36
197,-0.7764,-0.756,0.852675,122.15
198,-0.7799,-0.7602,0.856925,122.06
199,-0.7651,-0.751,0.853125,122.07
200,-0.7679,-0.7832,0.8684375,122.57
201,-0.7845,-0.7615,0.8520125,122.36
202,-0.7725,-0.775,0.8528125,122.4
203,-0.784,-0.7705,0.8538375,122.15
204,-0.7737,-0.7959,0.8792625000000001,122.07
205,-0.7838,-0.7842,0.868775,122.09
206,-0.7815,-0.7724,0.8649249999999999,122.09
