epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
0,0.4982,0.335,0.0,135.84
1,0.3143,0.284,0.0001375,129.12
2,0.2269,0.1595,0.0692,129.0
3,0.117,0.046,0.1465,129.0
4,0.0328,0.0372,0.167825,129.21
5,0.0018,-0.0684,0.2028875,130.82
6,-0.1129,-0.1512,0.3049,130.93
7,-0.189,-0.1772,0.3273375,130.79
8,-0.2431,-0.3043,0.420275,129.54
9,-0.3188,-0.3504,0.51635,129.08
10,-0.3947,-0.4081,0.5412375,129.1
11,-0.4057,-0.4519,0.563275,129.69
12,-0.4723,-0.4913,0.572325,130.76
13,-0.4685,-0.5294,0.5900375,130.85
14,-0.4954,-0.5048,0.5859625,130.69
15,-0.5214,-0.5557,0.66845,129.12
16,-0.5247,-0.5918,0.6893125,129.19
17,-0.5409,-0.5945,0.689975,129.01
18,-0.5627,-0.5832,0.6886125,129.05
19,-0.564,-0.546,0.6539874999999999,129.05
20,-0.5692,-0.5753,0.6671125,129.12
21,-0.5813,-0.5982,0.700175,129.67
22,-0.6118,-0.6282,0.7433875,130.81
23,-0.6324,-0.632,0.7641249999999999,130.86
24,-0.6355,-0.6737,0.7635875,130.78
25,-0.6414,-0.6843,0.7833,129.12
26,-0.6556,-0.6792,0.8015625,129.0
27,-0.6679,-0.6917,0.80115,129.05
28,-0.6758,-0.6389,0.751475,130.29
29,-0.6886,-0.6659,0.75275,130.91
30,-0.6799,-0.6859,0.7912125,130.84
31,-0.6925,-0.7096,0.7821375,130.1
32,-0.6809,-0.7244,0.8227,128.99
33,-0.6812,-0.7049,0.8113,128.98
34,-0.6857,-0.6716,0.797075,129.01
35,-0.6836,-0.7331,0.824,129.04
36,-0.6762,-0.6851,0.801,129.11
37,-0.7045,-0.6814,0.7563625,129.09
38,-0.698,-0.7093,0.8141125,130.2
39,-0.7092,-0.7078,0.8094625,130.96
40,-0.7093,-0.6996,0.8079500000000001,130.87
41,-0.7088,-0.7378,0.8203625,130.35
42,-0.7092,-0.6991,0.7989125,129.05
43,-0.7255,-0.7261,0.8255,129.11
44,-0.7253,-0.738,0.815525,129.13
45,-0.7379,-0.7405,0.8280125,130.73
46,-0.7128,-0.691,0.8062625,130.87
47,-0.7114,-0.7298,0.8060125,130.83
48,-0.7173,-0.7562,0.844675,129.53
49,-0.7294,-0.7184,0.817575,129.08
50,-0.7224,-0.6939,0.80625,129.3
51,-0.7166,-0.7373,0.8286875,129.06
52,-0.7291,-0.7259,0.826175,129.08
53,-0.7497,-0.7459,0.8324,129.07
54,-0.7383,-0.737,0.8324374999999999,129.14
55,-0.7268,-0.7265,0.8241875,130.86
56,-0.7288,-0.7494,0.838625,131.0
57,-0.737,-0.6963,0.7693875,130.83
58,-0.744,-0.7583,0.8499375,129.66
59,-0.7365,-0.7396,0.8408875,129.05
60,-0.7318,-0.7635,0.848125,129.16
61,-0.7403,-0.7582,0.84795,129.84
62,-0.7451,-0.7217,0.8263375,130.89
63,-0.7316,-0.7231,0.7845125000000001,130.74
64,-0.7419,-0.747,0.8530375,130.52
65,-0.7325,-0.7577,0.8421375,129.08
66,-0.7463,-0.779,0.8579375,129.13
67,-0.7614,-0.7588,0.84885,129.15
68,-0.7336,-0.7269,0.8222125,129.31
69,-0.7451,-0.7423,0.8357625,129.09
70,-0.7573,-0.7345,0.8432999999999999,129.16
71,-0.7556,-0.7193,0.8377375,129.97
72,-0.7503,-0.7585,0.8194875,130.87
73,-0.7464,-0.7548,0.8001625,131.01
74,-0.7498,-0.7253,0.8315125,130.58
75,-0.7517,-0.7691,0.8560375,129.12
76,-0.7435,-0.7695,0.8565375,129.07
77,-0.7552,-0.7488,0.8477375,129.02
78,-0.7533,-0.7432,0.825575,130.45
79,-0.7381,-0.7338,0.8419,130.73
80,-0.7434,-0.76,0.8510375,131.02
81,-0.759,-0.7741,0.8558125,129.79
82,-0.7688,-0.7262,0.78225,128.98
83,-0.748,-0.7555,0.85205,129.14
84,-0.752,-0.7626,0.845525,129.08
85,-0.7389,-0.7541,0.8072625,129.07
86,-0.7448,-0.7672,0.8554875,129.1
87,-0.7545,-0.7532,0.8473375,129.08
