epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
0,0.4625,0.322,0.0,130.04
1,0.3054,0.2761,0.0,122.5
2,0.2552,0.1626,0.0949625,122.36
3,0.1455,0.0858,0.155675,122.36
4,0.0455,0.0046,0.17635,122.35
5,-0.009,-0.0615,0.2187625,122.3
6,-0.0698,-0.1154,0.258175,122.32
7,-0.1501,-0.2516,0.35115,122.31
8,-0.2608,-0.3169,0.427,122.33
9,-0.314,-0.3719,0.5355,122.29
10,-0.384,-0.4142,0.5486875,122.29
11,-0.4233,-0.4075,0.5467375,122.29
12,-0.4253,-0.4799,0.57885,122.28
13,-0.4753,-0.5026,0.6441375,122.43
14,-0.5195,-0.506,0.658325,122.57
15,-0.5482,-0.5425,0.6600874999999999,122.52
16,-0.5555,-0.5623,0.6836375,122.41
17,-0.5592,-0.5894,0.692625,122.31
18,-0.5771,-0.6097,0.7089125000000001,122.28
19,-0.5731,-0.5952,0.7032,122.32
20,-0.5859,-0.6194,0.7024625,122.29
21,-0.6296,-0.6796,0.7926375,122.28
22,-0.6496,-0.6591,0.782025,122.33
23,-0.6539,-0.6817,0.7988500000000001,122.27
24,-0.656,-0.6767,0.781375,122.29
25,-0.6814,-0.6775,0.7957125,122.33
26,-0.6616,-0.7087,0.8114250000000001,122.32
27,-0.673,-0.7011,0.81115,122.29
28,-0.6773,-0.6638,0.792875,122.28
29,-0.6861,-0.6914,0.8092,122.49
30,-0.6911,-0.6555,0.7777000000000001,122.56
31,-0.6802,-0.689,0.79765,122.56
32,-0.6715,-0.7051,0.8122125,122.31
33,-0.7017,-0.6851,0.7976624999999999,122.31
34,-0.7054,-0.7241,0.824125,122.26
35,-0.7112,-0.7348,0.8353125,122.3
36,-0.7109,-0.723,0.83585,122.29
37,-0.709,-0.7312,0.825875,122.32
38,-0.7045,-0.6899,0.82555,122.27
39,-0.7196,-0.7234,0.8264125,122.28
40,-0.6993,-0.7358,0.83225,122.3
41,-0.7344,-0.7248,0.8399375,122.3
42,-0.7305,-0.742,0.8357125000000001,122.33
43,-0.7334,-0.7458,0.850375,122.28
44,-0.7357,-0.7459,0.84,122.42
45,-0.7418,-0.7281,0.8265,122.56
46,-0.7308,-0.7199,0.8378875,122.58
47,-0.7423,-0.7583,0.8447625,122.49
48,-0.7397,-0.746,0.8477875,122.36
49,-0.7305,-0.7707,0.8646125,122.36
50,-0.7414,-0.7529,0.839025,122.34
51,-0.7364,-0.7341,0.8507375,122.37
52,-0.7318,-0.7441,0.842625,122.31
53,-0.7455,-0.71,0.8374125,122.33
54,-0.7385,-0.7641,0.8552375,122.39
55,-0.7464,-0.7424,0.8283874999999999,122.29
56,-0.7397,-0.7407,0.851575,122.32
57,-0.7546,-0.7737,0.86995,122.32
58,-0.7442,-0.7793,0.858875,122.31
59,-0.7384,-0.7588,0.85105,122.32
60,-0.7335,-0.7642,0.8474375,122.6
61,-0.733,-0.7489,0.8373375,122.53
62,-0.7339,-0.7484,0.8468,122.54
63,-0.7555,-0.7575,0.8506750000000001,122.32
64,-0.743,-0.7373,0.8558125,122.31
65,-0.7516,-0.7607,0.8469,122.3
66,-0.736,-0.772,0.8589625,122.28
67,-0.7355,-0.7622,0.864525,122.3
68,-0.7523,-0.7498,0.8499875,122.32
69,-0.7509,-0.7541,0.847525,122.31
70,-0.7538,-0.7809,0.863825,122.3
71,-0.7599,-0.7792,0.86185,122.32
72,-0.7535,-0.7831,0.863925,122.3
73,-0.7597,-0.7594,0.8585,122.32
74,-0.7491,-0.7616,0.8525875,122.33
75,-0.749,-0.7365,0.8485375,122.51
76,-0.7494,-0.7474,0.851775,122.52
77,-0.7504,-0.7774,0.8572500000000001,122.6
78,-0.7578,-0.7525,0.8531625,122.37
79,-0.7672,-0.7725,0.8597125,122.33
80,-0.7536,-0.7619,0.8585,122.31
81,-0.7614,-0.7846,0.866475,122.32
82,-0.765,-0.7562,0.8580749999999999,122.29
83,-0.7642,-0.7795,0.8669125,122.34
84,-0.7498,-0.7659,0.853575,122.32
85,-0.7621,-0.7223,0.844175,122.32
86,-0.7698,-0.7764,0.8610875,122.3
87,-0.7485,-0.7716,0.8579375,122.36
88,-0.7594,-0.7698,0.8601125000000001,122.31
89,-0.7665,-0.7435,0.8496125,122.31
90,-0.7617,-0.7588,0.856325,122.42
91,-0.7492,-0.7751,0.8618375,122.56
92,-0.7693,-0.7473,0.8543375,122.57
