epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
0,0.4844,0.3033,0.0,128.91
1,0.322,0.3133,0.0,122.37
2,0.293,0.199,0.0245,122.54
3,0.1566,0.0924,0.14845,122.45
4,0.0617,0.0376,0.1684125,122.3
5,-0.0145,-0.0166,0.17404999999999998,122.18
6,-0.0665,-0.1021,0.254025,122.13
7,-0.1198,-0.2167,0.32963749999999997,122.22
8,-0.2515,-0.2821,0.4080375,122.16
9,-0.3291,-0.3474,0.510975,122.15
10,-0.3438,-0.3945,0.53535,122.33
11,-0.4238,-0.4718,0.6164125,122.43
12,-0.4641,-0.4653,0.62565,122.43
13,-0.4849,-0.5324,0.6562,122.23
14,-0.5094,-0.516,0.6510875,122.17
15,-0.5452,-0.5389,0.6664749999999999,122.18
16,-0.5602,-0.5523,0.67655,122.31
17,-0.5584,-0.575,0.6853375,122.36
18,-0.5572,-0.5696,0.6847875,122.48
19,-0.569,-0.6028,0.6986875,122.22
20,-0.5865,-0.5941,0.722325,122.16
21,-0.617,-0.5839,0.7197,122.11
22,-0.6234,-0.6287,0.769275,122.16
23,-0.64,-0.6105,0.74415,122.15
24,-0.6348,-0.6635,0.7815625,122.17
25,-0.6687,-0.6847,0.8021499999999999,122.42
26,-0.6602,-0.6484,0.7722,122.46
27,-0.656,-0.6977,0.805625,122.48
28,-0.6642,-0.6327,0.768925,122.25
29,-0.6735,-0.6746,0.7891875,122.16
30,-0.6949,-0.6809,0.7902125,122.16
31,-0.688,-0.6954,0.80925,122.33
32,-0.7071,-0.7054,0.8187625000000001,122.39
33,-0.6997,-0.7017,0.82125,122.37
34,-0.693,-0.7084,0.81425,122.19
35,-0.7089,-0.6819,0.8000875000000001,122.19
36,-0.6949,-0.6849,0.8041,122.16
37,-0.6955,-0.7226,0.8261625,122.12
38,-0.7082,-0.6897,0.802625,122.18
39,-0.7056,-0.7067,0.8127875,122.17
40,-0.7058,-0.7091,0.80745,122.38
41,-0.7226,-0.6946,0.8124875,122.41
42,-0.715,-0.7056,0.816775,122.36
43,-0.7359,-0.6898,0.80515,122.15
44,-0.7136,-0.7312,0.8336625,122.16
45,-0.7221,-0.7214,0.82045,122.16
46,-0.7104,-0.7445,0.853725,122.5
47,-0.728,-0.7165,0.8220375,122.79
48,-0.7259,-0.7529,0.8412125,122.41
49,-0.7385,-0.7409,0.8321375,122.18
50,-0.7305,-0.7422,0.8396125,122.16
51,-0.747,-0.7489,0.844275,122.13
52,-0.7373,-0.7401,0.8395125,122.15
53,-0.7324,-0.6595,0.7991375000000001,122.14
54,-0.7291,-0.7363,0.8334375,122.13
55,-0.7259,-0.716,0.8273,122.48
56,-0.7328,-0.7013,0.826825,122.47
57,-0.7287,-0.7062,0.815925,122.48
58,-0.73,-0.7279,0.838775,122.16
59,-0.7132,-0.7395,0.83645,122.14
60,-0.7218,-0.7343,0.8388125,122.17
61,-0.7176,-0.7174,0.834675,122.48
62,-0.7283,-0.7255,0.8326375,122.44
63,-0.7224,-0.7481,0.84725,122.38
64,-0.7435,-0.7545,0.848475,122.18
65,-0.7484,-0.7398,0.8368875,122.17
66,-0.7373,-0.7429,0.844,122.14
67,-0.7454,-0.7599,0.8531375,122.13
68,-0.7538,-0.7686,0.8519,122.18
69,-0.7496,-0.7702,0.854275,122.25
70,-0.7461,-0.7446,0.83655,122.45
71,-0.7456,-0.7459,0.8514125,122.45
72,-0.7551,-0.7416,0.833775,122.42
73,-0.7353,-0.7448,0.8526,122.14
74,-0.7469,-0.7377,0.8396375,122.15
75,-0.7351,-0.7447,0.8307,122.25
76,-0.7397,-0.7752,0.8624499999999999,122.49
77,-0.7526,-0.7611,0.8568625,122.45
78,-0.758,-0.7493,0.8471875,122.33
79,-0.7643,-0.7279,0.834275,122.17
80,-0.7675,-0.7496,0.8445125,122.17
81,-0.7653,-0.7415,0.8501125,122.16
82,-0.7451,-0.7479,0.8472500000000001,122.18
83,-0.7419,-0.7372,0.8256,122.16
84,-0.7623,-0.7646,0.8604125,122.38
85,-0.7625,-0.7546,0.8612125,122.43
86,-0.7536,-0.7426,0.8423875,122.47
87,-0.7537,-0.7721,0.8598125,122.27
88,-0.7438,-0.7709,0.850425,122.18
89,-0.7721,-0.7604,0.8518875,122.18
90,-0.7663,-0.7523,0.8484875000000001,122.46
91,-0.7676,-0.7468,0.85285,122.48
92,-0.7617,-0.7619,0.8432375,122.47
93,-0.7543,-0.7769,0.8556375,122.2
94,-0.7623,-0.7491,0.8476375,122.17
95,-0.7669,-0.7584,0.8633375,122.19
96,-0.7601,-0.7567,0.8509125,122.22
97,-0.7572,-0.7577,0.84585,122.18
98,-0.7683,-0.785,0.8605375,122.23
99,-0.7699,-0.7693,0.8579625,122.49
100,-0.7544,-0.7346,0.8396625,124.83
101,-0.7719,-0.7747,0.8550125,122.37
102,-0.7744,-0.7627,0.8491375,122.27
103,-0.7767,-0.7502,0.84485,122.21
104,-0.7472,-0.7488,0.8515874999999999,122.26
105,-0.7675,-0.7689,0.8568375,122.41
106,-0.7727,-0.7664,0.8707374999999999,122.45
107,-0.765,-0.759,0.8409125,122.64
108,-0.7623,-0.771,0.8402875,122.16
109,-0.7638,-0.7431,0.845575,122.18
110,-0.7647,-0.7385,0.8445375,122.19
111,-0.7796,-0.7551,0.8516,122.19
112,-0.7769,-0.7749,0.8648125,122.18
113,-0.777,-0.752,0.8450124999999999,122.36
114,-0.7835,-0.7815,0.8656375000000001,122.52
115,-0.7624,-0.7711,0.85995,122.46
116,-0.7627,-0.7604,0.853125,122.32
117,-0.7815,-0.7664,0.8552625,122.18
118,-0.7761,-0.7466,0.8527,122.14
119,-0.7728,-0.7318,0.8381,122.42
120,-0.7728,-0.7845,0.867075,122.45
121,-0.7719,-0.7421,0.8468249999999999,122.43
122,-0.7603,-0.7593,0.8564375,122.21
123,-0.7673,-0.7734,0.8636874999999999,122.15
124,-0.7796,-0.7832,0.85075,122.17
125,-0.7794,-0.7792,0.8509625,122.23
126,-0.7736,-0.7543,0.844425,122.18
127,-0.7885,-0.7588,0.8577875,122.25
128,-0.7708,-0.7788,0.8638125,122.47
129,-0.7684,-0.7585,0.866325,122.48
130,-0.7681,-0.7535,0.848025,122.36
131,-0.7552,-0.7701,0.8639749999999999,122.15
132,-0.7657,-0.7533,0.8530875,122.41
133,-0.7704,-0.7816,0.8640875,122.32
134,-0.7678,-0.7922,0.8634125,122.9
135,-0.7814,-0.7782,0.8661625,122.58
136,-0.764,-0.7641,0.86015,122.61
137,-0.7767,-0.7794,0.860275,122.19
138,-0.7626,-0.7815,0.8579125,122.19
139,-0.7705,-0.7871,0.8689625,122.17
140,-0.7845,-0.7824,0.869525,122.25
141,-0.7684,-0.762,0.84805,122.22
142,-0.7586,-0.7695,0.8639625,122.44
143,-0.7725,-0.7781,0.8691375,122.48
144,-0.7774,-0.7546,0.8396,122.52
145,-0.7686,-0.7638,0.8541375,122.21
146,-0.7739,-0.7584,0.8560625,122.24
147,-0.7853,-0.7825,0.8631125,122.22
148,-0.759,-0.7634,0.8575125,122.52
149,-0.7859,-0.7597,0.85,122.5
150,-0.7755,-0.7722,0.8537625,122.48
151,-0.7765,-0.7918,0.877525,122.23
152,-0.7772,-0.7524,0.84815,122.18
153,-0.78,-0.7692,0.8568,122.2
154,-0.7842,-0.7541,0.8437875,122.22
155,-0.7691,-0.7446,0.8597125,122.23
156,-0.7786,-0.7395,0.846925,122.34
157,-0.7739,-0.8094,0.87935,122.47
158,-0.774,-0.7781,0.856925,122.54
159,-0.7697,-0.7726,0.8483875,122.35
160,-0.7802,-0.7893,0.86215,122.22
161,-0.7702,-0.7365,0.8251875,122.21
162,-0.7474,-0.7623,0.8481624999999999,122.41
163,-0.7666,-0.7844,0.869175,122.47
164,-0.7862,-0.7903,0.866175,122.5
165,-0.7825,-0.7763,0.8638375,122.25
166,-0.7732,-0.7816,0.8566125,122.23
