region,n_folds,mean_dice,sd,ci95_low,ci95_high
foreground mean dice,5,0.8792296357318024,0.0029995144501890137,0.8755052466269106,0.882954024836694
acetabulum,5,0.8405856289319025,0.002442750198762748,0.8375525539534937,0.8436187039103112
gt,5,0.9081189101453875,0.007363008950507411,0.8989765270130903,0.9172612932776847
head,5,0.9357838484435237,0.0014493479108486234,0.9339842453217511,0.9375834515652963
lt,5,0.7894118783196029,0.008312098813302289,0.7790910444736132,0.7997327121655926
neck,5,0.946621469154917,0.002644131506981202,0.9433383462561822,0.9499045920536517
shaft,5,0.8447000501382302,0.006663357147317941,0.8364263994612318,0.8529737008152287
sourcil,5,0.9213571264519083,0.003196994684045791,0.9173875332502798,0.9253267196535367
triradiate cartilage,5,0.8472581742689469,0.007066904343012543,0.8384834535674783,0.8560328949704155
